Approach,Total_Time_s,Avg_Time_ms,Sequence1_Size,Sequence2_Size,Time_ms
Hungarian,1.0455025999908685,10.455025999908685,97,67,25.018100001034327
Hungarian,1.0455025999908685,10.455025999908685,97,77,28.839700000389712
Hungarian,1.0455025999908685,10.455025999908685,97,87,32.53295000104117
Hungarian,1.0455025999908685,10.455025999908685,97,97,36.18694999931904
SumCommon,0.9737085999950068,9.737085999950068,7,7,0.17719999959808774
SumCommon,0.9737085999950068,9.737085999950068,7,17,0.4305499987822259
SumCommon,0.9737085999950068,9.737085999950068,7,27,0.6839499983470887
SumCommon,0.9737085999950068,9.737085999950068,7,37,0.9427000004507136
SumCommon,0.9737085999950068,9.737085999950068,7,47,1.1909500008187024
SumCommon,0.9737085999950068,9.737085999950068,7,57,1.4507000014418736
SumCommon,0.9737085999950068,9.737085999950068,7,67,1.5013499978522304
SumCommon,0.9737085999950068,9.737085999950068,7,77,1.9893500011676224
SumCommon,0.9737085999950068,9.737085999950068,7,87,2.2632000018347753
SumCommon,0.9737085999950068,9.737085999950068,7,97,2.608650000183843
SumCommon,0.9737085999950068,9.737085999950068,17,7,0.4471000011108117
SumCommon,0.9737085999950068,9.737085999950068,17,17,1.0397500009275973
SumCommon,0.9737085999950068,9.737085999950068,17,27,1.655199999731849
SumCommon,0.9737085999950068,9.737085999950068,17,37,2.1885000005568145
SumCommon,0.9737085999950068,9.737085999950068,17,47,2.886049998778617
SumCommon,0.9737085999950068,9.737085999950068,17,57,3.5023000000364846
SumCommon,0.9737085999950068,9.737085999950068,17,67,4.067099998792401
SumCommon,0.9737085999950068,9.737085999950068,17,77,4.539150000709924
SumCommon,0.9737085999950068,9.737085999950068,17,87,5.331700000169803
SumCommon,0.9737085999950068,9.737085999950068,17,97,5.875699998796335
SumCommon,0.9737085999950068,9.737085999950068,27,7,0.686949999362696
SumCommon,0.9737085999950068,9.737085999950068,27,17,1.656300000831834
SumCommon,0.9737085999950068,9.737085999950068,27,27,2.6273500006936956
SumCommon,0.9737085999950068,9.737085999950068,27,37,3.5919499987357995
SumCommon,0.9737085999950068,9.737085999950068,27,47,4.573300000629388
SumCommon,0.9737085999950068,9.737085999950068,27,57,5.372000001443666
SumCommon,0.9737085999950068,9.737085999950068,27,67,6.54364999900281
SumCommon,0.9737085999950068,9.737085999950068,27,77,7.379999999102438
SumCommon,0.9737085999950068,9.737085999950068,27,87,8.481400000164285
SumCommon,0.9737085999950068,9.737085999950068,27,97,9.323899999799323
SumCommon,0.9737085999950068,9.737085999950068,37,7,0.94600000011269
